article_id,infraction_desc,amende_fixe,amende_min,amende_max,points_retrait,emprisonnement,categorie_vehicule,categorie_permis,chapitre,role_paragraphe,type_infraction,niveau_gravite,localisation,suspension_permis,concerne_pieton,recidive,mots_cles
92,"يجب علي كل سايق :
 - ان يكون في حاله بدنيه وعقليه تمكنه من سياقه مركبته او حيواناته وفي التحكم فيها باستمرار   1
:  - ان يمتنع عن السياقه خاصه في الحاالت التاليه 2
 - تحت تاثير الكحول او املواد املخدره  
- تاثير االدويه التي تحظر السياقه بعد تناولها والتي تحدد االداره قايمتها  تحت  
- في حاله التعب ",,,,,,,,,obligation,conduite_en_état_d_ivresse,non_défini,route_nationale,non,non,non,alcool
93,يجب علي كل سايق استعمال اجهزه السالمه ولوازمها وفق الشروط املحدده من قبل االداره,,,,,,,,,obligation,non_classifié,non_défini,,non,non,non,
94,"يجب علي كل راجل عند استعماله الطريق العموميه :
- اتخاذ االحتياطات الالزمه لتجنب كل خطر سواء علي نفسه او علي الغير  
- التقيد بقواعد السير الخاصه املتعلقه به واملحدده بهذا القانون والنصوص املتخذه لتطبيقه  
- االمتناع عن كل عمل يمكن ان يلحق ضررا ببييه الطريق",,,,,,,,الباب االول,sanction,défaut_de_permis,non_défini,route_nationale,oui,oui,non,permis
96,من 13  بتاريخ 1,,,,,,,,,definition,"excès_de_vitesse, dépassement, stationnement, défaut_de_permis",non_défini,route_nationale,oui,non,non,"vitesse, stationnement, depassement, permis"
98,"96 و95 يتوقف اثر توقيف او سحب رخصه السياقه املقرر من قبل االداره وفقا الحكام املواد
 اعاله  كيفما كانت مدته  بعد اي قرار بالحفظ تصدره النيابه العامه او اذا اصبح قابال للتنفيذ  97و
ضي به بتوقيف او الغاء رخصه السياقه �ضيء املق �من اجل نفس االفعال  مقرر قضايي حايز لقوه ال  
او بعد صدور اي مقرر قضايي با",,,,,,moto,,الباب الثاني,sanction,"excès_de_vitesse, conduite_en_état_d_ivresse, usage_téléphone, dépassement, stationnement, stationnement, ceinture, casque, défaut_de_permis",non_défini,"autoroute, route_nationale",oui,non,non,"vitesse, stationnement, alcool, telephone, autoroute, casque, depassement, permis"
100,"اعاله  وفي حاله تعدد الجنح املرتكبه في ان واحد من بينها جنحه واحده 99 استثناء من احكام الماده
 اعاله  فان عدد النقط الواجب خصمها من رصيد النقط 99  من الماده 5 و3 و1 من الجنح املشار اليها في
 نقطه علي االكثر  وفي حاله تعدد الجنح االخري املرتكبه في ان واحد فان عدد النقط الواجب 16 يساوي
 نقط علي االكثر",,,,,,,,الباب الثالث,sanction,non_classifié,non_défini,,non,non,non,
101,"اليمكن توقيف المركبات او ايداعها باملحجز اال في الحاالت ووفق الشروط املنصوص عليها في هذا 
القانون",,,,,,,,,definition,non_classifié,non_défini,,non,non,non,
102,"توقيف المركبه هو االمر الذي يصدره العون محرر املحضر  احتياطيا  للسايق بتوقيف مركبته في 
مكان معاينه املخالفه او علي مقربه منه  مع التقيد بالقواعد املتعلقه بالتوقف",,,,,,,,,obligation,"excès_de_vitesse, conduite_en_état_d_ivresse, dépassement, stationnement, défaut_de_permis, défaut_assurance",non_défini,,non,non,non,"vitesse, stationnement, alcool, depassement, permis"
106,"من 20 و19 و18 يتم توقيف المركبه علي النحو التالي  فيما يخص الحاالت املشار اليها في البنود
 اعاله : 103 الماده
 - يجب عند تجاوز عدد الركاب املاذون به في حاله النقل الجماعي لالشخاص  نقل االشخاص 1
  اعاله  وال يمكن السماح للمركبه املوقوفه 104 الزايدين وفق احكام الفقره االخيره من الماده
بمواصله السير ال",,,,,,,,,obligation,"dépassement, stationnement",non_défini,,non,non,non,"stationnement, depassement"
107,"اذا لم يتم انهاء املخالفه التي بررت التوقيف  وقت مغادره العون محرر املحضر ملكان ايقاف 
المركبه  يقوم هذا العون برفع االمر الي االداره التابع لها مع تسليمها شهاده التسجيل او رخصه 
السياقه حسب نوعيه املخالفه",,,,,,,,,obligation,non_classifié,non_défini,,non,non,non,
109,من 13  بتاريخ 1,,,,,,,,,definition,non_classifié,non_défini,,non,non,non,
110,"االيداع في املحجز هو تنقيل مركبه او جزء من مركبه متمفصله موضوع مخالفه  الي مكان يعينه 
العون محرر املحضر او السلطه املختصه  او السلطه القضاييه وحراستها فيه  قصد االحتفاظ بها في 
ذلك املكان طوال املده املقرره  علي نفقه مالكها",,,,,,,,,sanction,"excès_de_vitesse, dépassement, stationnement, défaut_de_permis, défaut_assurance",non_défini,"autoroute, route_nationale",non,non,non,"vitesse, stationnement, autoroute, depassement, permis"
113,"يجب علي العون محرر املحضر  الذي اعد محضر معاينه املخالفه املبرره لاليداع في املحجز  ان 
يحيل االمر علي ضابط الشرطه القضاييه املختص من حيث املكان او علي السلطه التابع لها العون 
املذكور  في الحاالت التي ينص فيها هذا القانون علي االيداع في املحجز",,,,,,,,,obligation,"défaut_de_permis, défaut_assurance",non_défini,,non,non,non,permis
114,"اذا اودع السايق او املالك او املسوول املدني المركبه باملحجز  وجب عليه ان يسلم الي حارس 
املحجز االمر بااليداع  الذي يعده العون محرر املحضر او االداره  ويتسلم من الحارس املذكور 
شهاده بااليداع في املحجز",,,,,,,,,obligation,non_classifié,non_défini,,non,non,non,
115,"ال يمكن اصالح المركبه املودعه في املحجز بسبب سوء حالتها امليكانيكيه التي ال تسمح بالسير وفق 
شروط السالمه العاديه  اال بعد انقضاء مده االيداع",,,,,,,,,definition,non_classifié,non_défini,,non,non,non,
116,"يجب ازاحه المركبه املودعه في املحجز  لعدم توفرها علي وثيقه املراقبه التقنيه او لعدم صالحيه 
هذه االخيره  ونقلها الي اقرب مركز للمراقبه التقنيه  بواسطه مركبه مرخص لها  الخضاعها الي 
املراقبه التقنيه",,,,,,,,,obligation,non_classifié,non_défini,,non,non,non,
117,يتحمل مالك المركبه او املسوول املدني عنها مصاريف االزاحه والحراسه في املحجز والخبره,,,,,,,,الباب الرابع,sanction,non_classifié,non_défini,,non,non,non,
119,"كل مالك مركبه اجنبيه  التتوفر علي رقم تسجيل مغربي  يقوم بعمليه النقل بين نقطتين داخل 
التراب املغربي  دون ترخيص خاص مسلم من قبل مصالح السلطه الحكوميه املكلفه بالنقل  يعاقب 
) درهم عن كل طن من الوزن االجمالي للمركبه محمله",,,,,,,,الباب الخامس,sanction,non_classifié,non_défini,,non,non,non,
120,"تحدث جذاذيتان اداريتان تتعلق االولي برخص السياقه والثانيه بالمركبات  تسميان تباعا 
 تسجل فيهما تلقاييا املعطيات »الجذاذيه الوطنيه للمركبه« و»الجذاذيه الوطنيه لرخصه السياقه«",,,,,,,,,definition,défaut_de_permis,non_défini,,non,non,non,permis
122,"تختص السلطه الحكوميه املكلفه بالنقل او املوظفون املنتدبون من لدنها لهذا الغرض  واملنشوره 
قايمتهم في الجريده الرسميه  وحدهم باصدار االمر او القيام او العمل علي القيام  تحت مسووليتهم  
بتسجيل املعطيات املنصوص عليها في هذا القانون وتصحيحها وتحيينها وكذا باخبار االشخاص 
املعنيين بالتسجيل املذكور و ببحث",,,,,,,,,definition,non_classifié,non_défini,,non,non,non,
